date,open,high,low,close,volume
2021-12-23,175.66,193.76,178.45,190.07,1203505.033
2021-12-24,184.1,197.59,190.11,190.65,1139099.939
2021-12-25,189.26,195.5,190.66,193.06,728943.776
2021-12-26,190.31,200.69,193.1,198.0,651526.772
2021-12-27,194.83,204.9,198.0,195.74,684157.58
2021-12-28,176.23,195.77,195.77,177.27,1645166.555
2021-12-29,170.05,180.65,177.32,170.64,1052634.264
2021-12-30,168.07,175.79,170.63,172.52,832588.309
2021-12-31,167.63,177.7,172.52,169.88,1027181.499
2022-01-01,169.93,179.25,169.98,179.21,668801.918
2022-01-02,174.41,179.56,179.19,176.32,454754.536
2022-01-03,166.73,176.46,176.33,170.13,616180.271
2022-01-04,166.5,173.88,170.19,167.72,609318.067
2022-01-05,145.0,171.34,167.72,154.44,1428526.991
2022-01-06,145.76,154.82,154.47,150.23,1335911.439
2022-01-07,133.31,150.73,150.26,136.37,1985727.527
2022-01-08,133.0,148.14,136.38,142.17,1482968.877
2022-01-09,137.87,145.71,142.11,140.83,774949.672
2022-01-10,130.0,143.76,140.82,135.89,1406373.762
2022-01-11,133.6,143.57,135.89,140.27,1082174.284
2022-01-12,138.29,153.4,140.27,151.56,1264515.147
2022-01-13,145.56,157.94,151.56,146.24,1051991.274
2022-01-14,142.0,150.65,146.21,146.17,923441.925
2022-01-15,144.0,149.6,146.17,147.78,654293.685
2022-01-16,146.16,152.0,147.71,147.98,558143.511
2022-01-17,137.14,148.3,148.02,139.85,834016.223
2022-01-18,134.34,143.04,139.86,141.35,788958.148
2022-01-19,132.8,142.79,141.4,135.33,870615.327
2022-01-20,126.0,143.96,135.34,127.52,1033466.745
2022-01-21,106.0,131.95,127.52,112.32,3664908.809
2022-01-22,88.25,114.27,112.34,94.78,3819600.91
2022-01-23,93.36,104.83,94.79,99.82,2076423.608
2022-01-24,80.83,99.95,99.79,91.96,4000160.424
2022-01-25,87.45,100.24,91.95,94.76,2346730.741
2022-01-26,89.26,104.85,94.77,92.18,2788797.827
2022-01-27,85.65,94.7,92.17,89.55,2302786.261
2022-01-28,87.21,93.58,89.55,91.35,1948462.461
2022-01-29,90.59,99.01,91.34,96.25,1393732.487
2022-01-30,91.46,97.63,96.24,93.31,869103.443
2022-01-31,88.95,101.41,93.29,99.52,1849697.043
2022-02-01,99.04,113.89,99.57,110.1,2923656.19
2022-02-02,96.87,112.48,110.11,101.99,2936803.929
2022-02-03,94.07,103.22,101.97,101.93,1997899.761
2022-02-04,100.36,112.9,101.93,112.69,2073025.293
2022-02-05,110.29,118.69,112.68,113.8,1453882.683
2022-02-06,111.51,116.11,113.78,115.32,729482.205
2022-02-07,112.81,121.99,115.37,117.62,1626448.566
2022-02-08,109.68,120.4,117.64,113.58,1597102.223
2022-02-09,109.35,117.22,113.56,114.04,1085178.663
2022-02-10,105.64,114.98,114.07,106.25,1356677.153
2022-02-11,95.17,108.59,106.24,96.5,1963777.687
2022-02-12,92.78,99.93,96.5,95.95,957223.752
2022-02-13,91.38,97.41,95.99,92.92,732921.459
2022-02-14,90.79,97.97,92.89,96.43,1202598.173
2022-02-15,96.35,105.86,96.43,105.61,1241413.09
2022-02-16,98.28,105.67,105.63,101.94,1112350.976
2022-02-17,92.38,102.88,101.92,93.56,1047996.018
2022-02-18,89.29,96.45,93.62,89.9,1008445.149
2022-02-19,88.69,92.79,89.88,91.34,544366.872
2022-02-20,85.62,93.96,91.34,90.78,1048000.211
2022-02-21,82.69,96.16,90.77,82.97,1582025.168
2022-02-22,81.0,87.71,83.0,86.43,1381458.943
2022-02-23,84.41,93.42,86.46,84.64,1395297.483
2022-02-24,75.36,93.69,84.64,89.41,2892979.566
2022-02-25,86.87,95.04,89.41,92.84,1622465.982
2022-02-26,89.28,95.2,92.81,90.32,901920.112
2022-02-27,84.1,92.24,90.32,85.7,1032013.604
2022-02-28,84.19,102.65,85.68,99.74,1946030.634
